127.0.0.1 - - [12/Mar/2024:14:47:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Mar/2024:14:47:58 +0530] "GET /ProductManagementApp/ HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [12/Mar/2024:14:47:58 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2024:14:47:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Mar/2024:14:55:17 +0530] "POST /ProductManagementApp/AddServlet HTTP/1.1" 200 8682389
0:0:0:0:0:0:0:1 - - [12/Mar/2024:14:55:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Mar/2024:15:01:37 +0530] "POST /ProductManagementApp/AddServlet HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [12/Mar/2024:15:02:47 +0530] "POST /ProductManagementApp/AddServlet HTTP/1.1" 200 17475168
0:0:0:0:0:0:0:1 - - [12/Mar/2024:15:03:22 +0530] "GET /ProductManagementApp/EditProductservlet?proId=2525252 HTTP/1.1" 200 3480
0:0:0:0:0:0:0:1 - - [12/Mar/2024:15:03:39 +0530] "GET /ProductManagementApp/DeleteProductservlet?proId=12345 HTTP/1.1" 200 8682468
0:0:0:0:0:0:0:1 - - [12/Mar/2024:15:05:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Mar/2024:15:05:31 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 8682389
0:0:0:0:0:0:0:1 - - [12/Mar/2024:15:05:43 +0530] "GET /ProductManagementApp/EditProductservlet?proId=2525252 HTTP/1.1" 200 3480
0:0:0:0:0:0:0:1 - - [12/Mar/2024:15:07:47 +0530] "GET /ProductManagementApp/EditProductservlet?proId=2525252 HTTP/1.1" 200 3480
0:0:0:0:0:0:0:1 - - [12/Mar/2024:15:15:18 +0530] "GET /ProductManagementApp/EditProductservlet?proId=2525252 HTTP/1.1" 200 3480
0:0:0:0:0:0:0:1 - - [12/Mar/2024:15:15:32 +0530] "GET /ProductManagementApp/EditProductservlet?proId=2525252 HTTP/1.1" 200 3480
